AX,AY,AZ,GX,GY,GZ
-0.19,0.53, .78, -.53, -1.57, .51
0.05,0.43, .82, -.34, -1.33, .03
0.11,0.45, .78, -.7, -1.68, -.09
0.16,0.46, .78, -.97, -1.13, .27
0.27,0.3, .96, -.09, -1.16, 1.14
0.21,0.15, .82, 2.11, -2.56, 2.92
0.14,-0.21, .5, 1.83, -2.67, 3.77
0.22,-0.3, -.09, -.81, -.98, 3.9
0.87,-0.39, .72, -.28, -1.57, 3.68
1.76,-0.24, .82, .29, -.9, 2.36
2.08,-0.07, .55, .26, .42, .58
1.49,-0.16, .45, .74, -.22, -.03
0.82,-0.26, .51, 1.23, -.54, .54
0.72,-0.22, .44, 1.17, -.32, .67
0.79,-0.14, .39, .71, -.54, .44
0.88,-0.05, .17, -.26, -.6, .24
0.7,-0.26, .26, -.58, -.83, 1.77
0.76,-0.62, .33, -1.03, -1.13, 3.44
0.84,-0.61, .13, -1.31, -.13, 2.38
0.65,-0.55, .12, -.67, .06, 1.94
0.91,-0.74, -.06, -.62, 1.1, .23
0.29,-1.36, .14, -.32, -.44, .26
0.47,-0.71, .06, -.11, -.47, 1.07
0.44,-0.87, .01, -.34, -.21, .29
0.43,-0.84, .04, -.22, -.69, -.84
0.34,-0.68, .03, .06, -.88, .77
0.3,-0.75, -.14, -.04, -.52, 1.72
0.31,-0.88, -.1, -.37, -.78, .89
0.14,-1.14, .06, -.26, -2.07, 1.1
0.33,-1.49, -.34, .07, -.36, .11
0.08,-0.9, -.09, .22, -.28, .01
0.17,-1.01, -.18, .09, -.12, -.01
0.13,-0.96, -.14, .11, -.18, -.02
0.12,-0.97, -.13, .12, -.16, -.02
0.12,-0.97, -.12, .08, -.1, -.03
0.07,-0.98, -.11, -.02, .06, .01
0.12,-0.97, -.11, .01, .08, 
0.15,-0.97, -.11, .03, -.03, -.01
0.14,-0.97, -.1, , -.07, -.01
0.13,-0.97, -.1, , -.04, 
0.11,-0.98, -.1, -.02, , 
0.12,-0.97, -.1, -.02, -.02, 
0.14,-0.97, -.11, , -.11, -.02
0.15,-0.97, -.13, .01, -.22, -.04
0.12,-0.97, -.12, , -.17, -.02
0.1,-0.98, -.11, -.01, -.03, -.01
0.09,-0.98, -.11, -.03, .09, .01
0.12,-0.97, -.11, -.03, .11, .01
0.14,-0.97, -.12, -.02, .07, .01
0.13,-0.97, -.12, -.02, .07, 
0.12,-0.97, -.12, -.01, .08, .01
0.13,-0.97, -.12, , .07, .01
0.13,-0.97, -.12, -.01, .05, .01
0.14,-0.97, -.12, , .01, 
0.13,-0.97, -.12, , , 
0.13,-0.97, -.11, .01, .01, 
0.13,-0.97, -.11, , .01, .01
0.14,-0.97, -.12, , -.02, 
0.14,-0.97, -.12, .01, -.04, 
0.12,-0.97, -.12, , -.03, 
0.12,-0.97, -.12, , -.01, 
0.12,-0.97, -.11, -.01, , 
0.12,-0.97, -.11, , , .01
0.13,-0.97, -.11, , .01, 
0.13,-0.97, -.12, , .01, .01
0.12,-0.97, -.12, .01, .04, .01
0.13,-0.97, -.11, , .04, .01
0.13,-0.97, -.12, -.01, .02, .01
0.13,-0.97, -.12, -.01, .01, .01
0.13,-0.97, -.11, , , .01
0.13,-0.97, -.12, , , .01
0.13,-0.97, -.12, , -.01, 
0.12,-0.97, -.12, .01, -.01, 
0.12,-0.97, -.11, .02, -.02, .01
0.13,-0.97, -.11, .03, -.03, 
0.13,-0.97, -.12, .02, -.05, 
0.12,-0.97, -.12, .01, -.02, 
0.12,-0.97, -.1, .01, , .01
0.12,-0.97, -.1, .04, -.01, .01
0.12,-0.97, -.11, .03, -.01, .01
0.12,-0.97, -.11, .01, -.02, 
0.12,-0.97, -.11, .01, -.01, 
0.12,-0.97, -.1, .02, -.02, .01
0.12,-0.98, -.09, .03, -.01, .01
0.11,-0.97, -.09, .02, .02, .01
0.12,-0.97, -.11, .01, .02, .01
0.12,-0.97, -.11, .01, .01, 
0.12,-0.97, -.11, .01, , 
0.12,-0.97, -.1, .05, -.02, -.01
0.12,-0.97, -.1, .04, -.01, 
0.12,-0.97, -.09, .01, .01, 
0.13,-0.97, -.1, .02, .02, 
0.12,-0.97, -.09, .04, .01, -.01
0.12,-0.98, -.09, .02, , -.01
0.13,-0.98, -.08, .05, -.03, -.02
0.12,-0.97, -.08, .06, -.05, -.02
0.11,-0.98, -.07, .05, -.03, -.01
0.13,-0.98, -.06, .03, -.06, -.02
0.12,-0.98, -.06, .03, -.07, -.01
0.11,-0.97, -.05, .05, -.03, -.01
0.11,-0.97, -.04, .13, -.05, -.01
0.09,-0.95, -.05, -.1, -.29, .01
0.09,-0.98, -.21, -.11, -.25, -.08
0.17,-0.98, -.09, .04, -.56, -.22
