AX,AY,AZ,Activity
0.13,-0.97,-0.12,Walking
0.12,-0.98,-0.11,Walking
0.12,-0.97,-0.11,Walking
0.13,-0.96,-0.12,Walking
0.15,-0.97,-0.1,Walking
0.14,-0.97,-0.1,Walking
0.14,-0.97,-0.08,Walking
0.14,-0.98,-0.09,Walking
0.14,-0.97,-0.09,Walking
0.14,-0.97,-0.08,Walking
0.14,-0.97,-0.09,Walking
0.15,-0.97,-0.1,Walking
0.15,-0.96,-0.09,Walking
0.14,-0.92,-0.02,Walking
0.1,-0.99,-0.23,Walking
0.21,-0.98,-0.09,Walking
0.18,-0.97,-0.19,Walking
0.14,-0.92,-0.17,Walking
0.21,-0.92,-0.16,Walking
0.16,-0.94,-0.19,Walking
0.14,-0.92,-0.12,Walking
0.24,-0.94,-0.03,Walking
0.3,-1.14,-0.14,Walking
0.45,-1.24,-0.32,Walking
0.17,-1.04,-0.26,Walking
0.15,-1.16,0.01,Walking
0.03,-1.02,0.08,Walking
0.05,-0.75,-0.26,Walking
-0.07,-0.65,-0.17,Walking
-0.01,-0.57,-0.32,Walking
0.19,-0.84,-0.58,Walking
-0.1,-1.3,-0.92,Walking
-0.19,-1.21,-0.19,Walking
0.09,-0.68,0.06,Walking
0.44,-1.22,-0.15,Walking
-0.17,-0.78,-0.17,Walking
0.25,-0.77,0.11,Walking
0.14,-0.87,-0.29,Walking
0.08,-0.94,-0.14,Walking
0.38,-1.14,0.01,Walking
0.26,-1.28,-0.3,Walking
,-1.25,-0.05,Walking
-0.05,-1.37,0.1,Walking
0.19,-0.63,-0.07,Walking
0.01,-0.64,0.03,Walking
-0.12,-0.65,-0.25,Walking
-0.05,-0.76,-0.42,Walking
-0.18,-1.15,-1.11,Walking
0.03,-1.58,-0.03,Walking
-0.06,-0.63,0.06,Walking
0.34,-1.25,-0.15,Walking
-0.14,-0.68,-0.15,Walking
0.34,-0.83,-0.05,Walking
0.02,-0.84,-0.18,Walking
0.26,-1.06,-0.15,Walking
0.19,-1.13,-0.21,Walking
0.04,-1.24,-0.17,Walking
-0.18,-1.38,-0.02,Walking
-0.03,-0.98,0.21,Walking
0.07,-0.55,-0.19,Walking
-0.26,-0.51,,Walking
-0.07,-1.24,-0.7,Walking
0.35,-1.22,-0.06,Walking
-0.36,-0.99,-0.06,Walking
0.12,-1.03,0.19,Walking
0.12,-1.03,0.19,Walking
0.05,-1.0,0.08,Walking
0.14,-0.98,-0.08,Walking
0.06,-0.98,-0.03,Walking
0.19,-0.95,-0.21,Walking
0.11,-0.93,-0.22,Walking
-0.15,-1.07,-0.04,Walking
-0.24,-1.03,-0.24,Walking
-0.28,-0.81,-0.22,Walking
0.18,-0.91,-0.31,Walking
-0.16,-0.91,-0.38,Walking
-0.19,-0.96,-0.37,Walking
-0.2,-0.87,-0.32,Walking
-0.1,-0.82,-0.35,Walking
-0.03,-0.8,-0.48,Walking
-0.03,-0.8,-0.48,Walking
-0.06,-0.83,-0.61,Walking
-0.4,-1.1,-0.63,Walking
-0.27,-0.72,-0.43,Walking
-0.26,-1.04,-0.01,Walking
0.19,-1.07,-0.1,Walking
0.04,-0.9,-0.15,Walking
-0.05,-0.79,-0.12,Walking
0.1,-0.96,-0.22,Walking
0.03,-0.87,-0.04,Walking
0.06,-1.05,-0.14,Walking
0.16,-1.27,-0.18,Walking
0.23,-1.19,-0.17,Walking
-0.24,-1.23,-0.04,Walking
-0.2,-1.3,0.25,Walking
0.23,-0.76,-0.24,Walking
-0.14,-0.43,0.07,Walking
-0.06,-0.55,-0.18,Walking
-0.07,-0.94,-0.77,Walking
-0.27,-1.2,-0.95,Walking
-0.18,-1.28,0.1,Walking
0.06,-0.95,0.17,Walking
0.06,-1.05,-0.23,Walking
-0.25,-0.63,,Walking
0.31,-0.95,-0.15,Walking
0.01,-0.86,-0.2,Walking
0.12,-1.04,-0.14,Walking
0.12,-1.25,-0.18,Walking
0.05,-1.2,-0.13,Walking
-0.43,-1.42,-0.17,Walking
0.1,-0.99,0.26,Walking
0.13,-0.66,-0.12,Walking
-0.28,-0.55,0.06,Walking
-0.06,-0.61,-0.35,Walking
-0.08,-1.34,-0.98,Walking
-0.37,-1.01,-0.45,Walking
-0.07,-0.92,0.05,Walking
0.25,-1.26,0.05,Walking
-0.3,-0.99,-0.22,Walking
0.07,-0.79,-0.07,Walking
0.09,-0.92,-0.2,Walking
0.02,-0.77,-0.18,Walking
0.02,-1.1,-0.13,Walking
0.01,-1.07,-0.27,Walking
0.08,-1.21,-0.18,Walking
-0.37,-1.11,0.13,Walking
-0.11,-0.95,-0.08,Walking
-0.09,-0.78,-0.2,Walking
-0.12,-0.8,-0.26,Walking
-0.08,-0.98,-0.26,Walking
