AX,AY,AZ,Activity
-0.8,-0.47,0.52,Falling Forwards
-0.69,-0.41,0.16,Falling Forwards
-0.51,-0.49,0.09,Falling Forwards
-0.6,-0.39,0.03,Falling Forwards
-1.0,-0.24,0.34,Falling Forwards
-0.62,-0.21,0.09,Falling Forwards
-0.4,-0.28,0.09,Falling Forwards
0.13,-0.1,-0.05,Falling Forwards
0.83,-0.65,-0.37,Falling Forwards
-0.68,-4.86,-0.03,Falling Forwards
-2.0,-0.9,-0.25,Falling Forwards
0.35,-2.14,1.04,Falling Forwards
0.19,0.29,0.88,Falling Forwards
-0.33,0.86,-0.66,Falling Forwards
-1.02,0.55,-1.57,Falling Forwards
-0.25,0.13,-0.92,Falling Forwards
-0.17,0.09,-0.94,Falling Forwards
-0.2,0.12,-0.99,Falling Forwards
-0.15,0.09,-0.97,Falling Forwards
-0.18,0.11,-0.98,Falling Forwards
