AX,AY,AZ,Activity
0.16,-0.95,-0.15,Walking
0.22,-0.95,-0.15,Walking
0.16,-0.96,-0.16,Walking
0.13,-0.96,-0.16,Walking
0.17,-0.98,-0.1,Walking
0.16,-0.98,-0.06,Walking
0.15,-0.96,-0.03,Walking
0.25,-0.96,-0.06,Walking
0.24,-0.95,-0.12,Walking
0.27,-0.92,-0.08,Walking
0.25,-0.92,-0.09,Walking
0.25,-0.93,-0.11,Walking
0.25,-0.93,-0.07,Walking
0.22,-0.97,-0.04,Walking
0.35,-1.02,-0.05,Walking
0.35,-1.08,-0.16,Walking
0.41,-1.11,-0.09,Walking
0.12,-1.02,-0.11,Walking
0.11,-1.24,0.13,Walking
0.15,-0.85,-0.08,Walking
0.05,-0.91,-0.21,Walking
0.04,-0.75,-0.24,Walking
0.11,-0.63,-0.28,Walking
0.13,-0.76,-0.39,Walking
0.16,-1.18,-0.75,Walking
-0.15,-1.03,-0.46,Walking
-0.03,-1.19,-0.07,Walking
0.25,-0.6,0.29,Walking
0.37,-1.23,-0.53,Walking
-0.02,-0.75,0.01,Walking
0.29,-0.93,-0.14,Walking
0.19,-0.82,-0.11,Walking
0.14,-0.95,-0.22,Walking
0.28,-1.09,,Walking
0.24,-1.23,-0.27,Walking
0.34,-1.07,0.04,Walking
-0.14,-1.42,0.03,Walking
0.25,-0.75,-0.04,Walking
-0.08,-0.71,-0.2,Walking
0.04,-0.58,-0.18,Walking
,-0.68,-0.49,Walking
0.2,-1.04,-0.74,Walking
-0.17,-1.01,-0.56,Walking
-0.26,-1.68,0.1,Walking
0.46,-0.35,0.14,Walking
0.42,-1.34,-0.34,Walking
-0.31,-0.66,-0.12,Walking
0.43,-0.99,0.06,Walking
0.02,-0.84,-0.15,Walking
0.14,-0.96,-0.22,Walking
0.36,-1.06,-0.07,Walking
0.27,-1.42,0.02,Walking
-0.55,-1.11,-0.26,Walking
0.1,-1.31,0.34,Walking
0.13,-0.58,-0.18,Walking
-0.18,-0.59,-0.09,Walking
-0.09,-0.59,-0.06,Walking
